SNo,Parameters,Recommendation
1,Throughput=715Mbps | Latency=11ms | Reliability=99.967% | Density=2533devices/km2 | Mobility=58km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
2,Throughput=809Mbps | Latency=6ms | Reliability=99.972% | Density=3680devices/km2 | Mobility=99km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
3,Throughput=1125Mbps | Latency=6ms | Reliability=99.985% | Density=2219devices/km2 | Mobility=108km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
4,Throughput=647Mbps | Latency=3ms | Reliability=99.96% | Density=3761devices/km2 | Mobility=58km/h | Error  =Buffer warn | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
5,Throughput=843Mbps | Latency=4ms | Reliability=99.971% | Density=3981devices/km2 | Mobility=58km/h | Error  =QoS drift | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
6,Throughput=872Mbps | Latency=7ms | Reliability=99.987% | Density=3789devices/km2 | Mobility=83km/h | Error  =Link drop | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
7,Throughput=908Mbps | Latency=14ms | Reliability=99.964% | Density=2417devices/km2 | Mobility=47km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
8,Throughput=894Mbps | Latency=14ms | Reliability=99.992% | Density=2077devices/km2 | Mobility=44km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
9,Throughput=1193Mbps | Latency=5ms | Reliability=99.95% | Density=2464devices/km2 | Mobility=67km/h | Error  =Link drop | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
10,Throughput=820Mbps | Latency=7ms | Reliability=99.955% | Density=2326devices/km2 | Mobility=102km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
11,Throughput=711Mbps | Latency=12ms | Reliability=99.955% | Density=3279devices/km2 | Mobility=102km/h | Error  =Policy miss | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
12,Throughput=857Mbps | Latency=13ms | Reliability=99.958% | Density=2000devices/km2 | Mobility=70km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
13,Throughput=1042Mbps | Latency=10ms | Reliability=99.995% | Density=2297devices/km2 | Mobility=80km/h | Error  =Link drop | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
14,Throughput=757Mbps | Latency=6ms | Reliability=99.951% | Density=3030devices/km2 | Mobility=48km/h | Error  =Radio load | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
15,Throughput=574Mbps | Latency=5ms | Reliability=99.965% | Density=2577devices/km2 | Mobility=62km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
16,Throughput=628Mbps | Latency=5ms | Reliability=99.976% | Density=2067devices/km2 | Mobility=96km/h | Error  =Low jitter | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
17,Throughput=762Mbps | Latency=15ms | Reliability=99.961% | Density=2988devices/km2 | Mobility=53km/h | Error  =Timing skew | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
