TEST_ID,USER_INPUT,TARGET_INTENT
TEST_001,List my schedule for this afternoon.,LIST_APPOINTMENTS
TEST_002,What are my appointments Tuesday morning?,LIST_APPOINTMENTS
TEST_003,What's on my calendar this week?,LIST_APPOINTMENTS
TEST_004,What is my availability Monday morning?,LIST_APPOINTMENTS
TEST_005,View my schedule New Years Eve,LIST_APPOINTMENTS
TEST_006,List my appointments on Halloween,LIST_APPOINTMENTS
TEST_007,What is my schedule next Thursday?,LIST_APPOINTMENTS
TEST_008,Do I have any appointments on 30/10/2025?,LIST_APPOINTMENTS
TEST_009,How many patients did I see last month?,UNSUPPORTED_REQUEST
TEST_010,Who is my next patient?,UNSUPPORTED_REQUEST
TEST_011,Cancel my appointments tomorrow afternoon.,CANCEL_APPOINTMENTS
TEST_012,Cancel my schedule for the 30th.,CANCEL_APPOINTMENTS
TEST_013,"I'm sick, cancel all my appointments today.",CANCEL_APPOINTMENTS
TEST_014,Cancel everything on November 1st from 10 - 12,CANCEL_APPOINTMENTS
TEST_015,Need to cancel my morning appointments tomorrow,CANCEL_APPOINTMENTS
TEST_016,Cancel my 10:00 - 10:30 patient Monday,CANCEL_APPOINTMENTS
TEST_017,Move my appointments December 12 to December 13 2025,RESCHEDULE_APPOINTMENTS
TEST_018,I need to move today's appointments to tomorrow,RESCHEDULE_APPOINTMENTS
TEST_019,Move my November appointments to December,RESCHEDULE_APPOINTMENTS
TEST_020,Reschedule my 10/31/2025 appointments to 11/02/2025,RESCHEDULE_APPOINTMENTS
TEST_021,Reschedule my 9 AM on Halloween to 9 AM the following day,RESCHEDULE_APPOINTMENTS
TEST_022,Block my calendar tomorrow.,BLOCK_SLOTS
TEST_023,I won't be available from 2-4pm today.,BLOCK_SLOTS
TEST_024,Block out all of next week,BLOCK_SLOTS
TEST_025,I need to take a personal break today from 1 PM to 2 PM.,BLOCK_SLOTS
TEST_026,Block off my mornings for June 5th next year,BLOCK_SLOTS
TEST_027,"I'm going on leave, block my calendar from Dec 1st to Dec 10th 2025",BLOCK_SLOTS
